,0
10,"I love sushi, and Little Katana has been on my radar for awhile now. Decided to try takeout and was pleasantly surprised. I had the rainbow, Philadelphia, and spicy tuna rolls, along with salmon belly sashimi. Also threw in the yakisoba noodles for kicks. The salmon belly was amazing! This place is reasonably priced and about what you'd expect for good sushi. Would I go back? Definitely."
11,"It's taken a few tries to decide, but I definitely like Little Katana and enjoy it every time I have it. Their mochi ice cream is really a highlight - mango in particular. The strawberry flavor is also really good too and the only one I didn't enjoy as much was the green tea flavor. The mochi come three per order and they will let you mix and match if you want to try different flavors. I don't know how they manage to get such soft, delightful mochi but it really is some of the best I've ever had. Sometimes we order just mochi because it's that good! As far as their other food is concerned, it's all generally good, but if it's during dinnertime, a little pricy. Their lunch bentos are a great deal because they come with miso soup, salad, a large portion of tempura, and four pieces of california roll (in addition to your main entree). My husband tried the sushi/sashimi the other day and the fish was very fresh. I liked the beef tenderloin (which they will prepare to your liking). My mom didn't enjoy the chicken teriyaki as much as from other places, but liked her meal as a whole. Their rolls tend to be very good and we especially like their salmon avocado roll and louisiana roll. I look forward to dining in sometime and trying their happy hour!"
12,One of my favorite lunch spots when I'm visiting clients in Las Colinas. The service is exceptional and the quality of the sushi is excellent. I prefer to sit at the sushi bar and usually enjoy the super fresh and flavorful salmon sashimi. I've been here at least a dozen times and have never been disappointed.
13,This place was a nice quiet vibe and has a full bar with lots of tables to sit at. The crab meat dynamite roll was absolutely delicious and the service was wonderful as well.
14,"Delicious healthy and tasty bento box lunches with a very interesting flavorful citrusy vinaigrette ginger salad dressing! I don't mind eating salad from here because of the traditional Japanese salad dressing I enjoyed the chicken teriyaki bento box that comes with a large side of tempura fried vegetables and shrimp, California roll,Delicious seaweed miso soup, rice or wasabi mashed potatoes, and salad"
15,"Stopped in for lunch and was pleasantly surprised. They have a temperature check machine at the door that's a little wonky but I'm all for added safety precautions! I started with a hot green tea, nothing special flavor wise but great for a chilly day. The teriyaki salmon bento box was delicious, I chose the wasabi mashed potatoes, and very filling. I'll definitely be back to try more of the menu."
16,"This sushi was very good! They were open late so we were able to get something to eat & have drinks. we got the combination fried rice, 2 signature rolls & a white wine."
17,I always have happy feelings at Little Katana. It is definitely not the typical sushi place that has a piano and westernized interior design but with bomb Asian fusion/Japanese cuisine. I take people here with many different occasions from business lunch to date night or family dining. Your guest(s) won't be disappointed. The service is ALWAYS top of the notch. I was always pleased with their prompt and professional service.
18,I HIGHLY RECOMMEND THIS PLACE anyone who are craving for some authentic sushi this is place to go. On my birthday i had a really great time and wonderful experience dining in Little Kitana. We ordered shrimp & veggie tempura in appetizers and tiger rolls & Kitana rolls in the main course along with hot sake. Food was absolutely amazing. And we received a mango cheese cake as dessert with a candle on top with the stewardess singing happy birthday to me was a huge surprise. This mango cheese cake was the best I ever tasted. Staff was extremely friendly. Service was fast. Restaurant was super neat. Music was also decent and can have a nice conversation. Overall experience was great. We made Little Kitana our go to for any sushi rolls craving. Terrific food!!!
19,I am new to the area and have been hearing this is one of the next sushi spots in the area.  The service was attentive and friendly.  The dining area was well spaced. The nigiri sushi in particular was of excellent quality. I will definitely be back.
20,It was good. The spicy chkn wasnt spicy at all though. The sushi is great. Fresh ingredients & staff is friendly
21,"This place is delicious. You can taste quality in the food. We ordered Hot Stone Bowl which is a must get if you visit Little Katana.. they ask you what ingredients you dont want added. They will also mix the egg once they bring the hot stone bowl to your table! The rice stayed nice and hot throughout the entire dinner! We also ordered LA Kalbi and it was super rich in flavor. Of course, we had to sushi and we went with their Katana Roll, which has crab meat, shrimp, avocado, spicy mayo and katana sauce(not sure). You can really taste the quality in the food! You won't be disappointed. We made this our monthly dinner spot."
22,"I visited this place for a weekday lunch with office colleagues.The place specializes in Japanese Cuisine and located in Las Colinas, Irving. Here is my perspective about the place.Food (4/5) - I tried two of their dishes which were:1. Veggie and Tofu Bentos - This was a full meal which contained in house salad, miso soup, 4 pcs of veggie tempura (onion and cucumber), Avocado Roll, Mashed Potatoes and Tofus glazed in Teriyaki way. I loved the Tofus and Veggie Tempuras. Avocado Roll and Soup tasted average. The presentation of the dish was amazing.2. Osaka Miso - It was a type of Ramen and had SoyBeans. It tasted a bit bland to me and so I added chilli sauce into it. After that, it tasted good.Service (4.5/5) - The staff was very courteous and welcomed us with the lovely smiles. The service was also pretty quick. Ambience (4.5/5) - The place gives you good vibes and you feel like you have come to a very fancy place even though the prices are very reasonable. The overall experience was good and I would recommend visiting this place for sure."
23,"I'm literally always so hesitant to try new sushi places because of the reasons I'll share below. I moved from Houston for a job in Irving so I'm still trying to find my favorite spots for all types of food. I already know fusion places don't have the best quality food and I really should've just stuck with that inkling. SO; if you didn't know that already, there's FOODIE TIP #1 - Fusion restaurants are usually NEVER good. The sushi roll options were all california roll base then whatever else added to make different combinations. We got an order of salmon belly and it was $16 for 5 sashimi pieces. Now I know salmon belly is pricier than regular salmon but the quality was NOT there. I've paid that same amount for JUST SALMON at better quality. The rice that the rolls were made with was either not the right rice or cooked wrong. It wasn't sticky & every single piece broke apart so I couldn't even pick it up with my chopstick. The calamari looked & tasted like it could've been from Wendy's. The color/taste of the batter and the sweet n sour sauce it comes with - Wendy's chicken nuggets with sweet n sour sauce ! I wish I was making this up. I don't even know where to start for the hot stone bowl. The meat vs rice ratio was like 3:1. Of course whoooo complains about getting too much meat !? When every bite was 3 chunks meat w 3 grains of rice !! Overall experience was 3 stars. If I was giving starts for different aspects it would be - Service - 4 StarsFood - 1 StarLocation/Parking - 3 StarsAmbiance/Culture - 3 StarsI wouldn't recommend this place knowing there's better quality of everything I ordered there, elsewhere. Even if it was walking distance from work, I'd make the drive to go somewhere else. The price point and the quality didn't match & it was quite disappointing I paid so much for what I got. You live & you learn !!"
24,"The absolute worse Las Colinas lunch experience of my life!!!! The manager clearly shouldn't be managing anything as he was running around like a lost child! I came in and the place was packed, it took over 20 minutes to get anyone's attention I asked for a drink menu he says they don't serve cocktails during lunch....come again(wtf) I left the service was horrendous I would rate zero stars if I could!!!!"
25,"Came here with a friend, the energy and ambience is exhilarating. The service was very polite and attentive. The Sushi rolls and sashimi was excellent, very fresh. But baby bring your wallet, cause this place will break the bank!"
26,"The food here was fantastic. I am a sushi lover and it's hard to find good fresh fish around the area. (I'm picky when it comes to raw fish) texture and flavor. They do not disappoint!! I ordered the salmon belly, fatty tuna, regular salmon and tuna sushi. As well as Katana 101 Roll and a hand roll. I sat at the sushi bar and the man preparing it all was so nice and super helpful! Will definitely be back"
27,"Came here on a business trip since it was close to our hotel and it was a delicious dinner. We didn't come in super hungry but needed to eat something before we called it a night. The food was delicious! You know you can judge a sushi place by the sushi rice. We ordered a no problem roll and a scallop dynamite. No problem roll was really good with deep fried soft shelled crab which added crunchy texture to the roll. The crab was fried to perfect crispiness but you could still taste the firm meat inside it. Scallop dynamite was very interesting - there were about 6 pieces of California rolls topped with imitation crab meat and baked scallop tossed in spicy mayo and drizzled with eel sauce. We thought the crab meat and scallop mixture had way too much mayo which made it too creamy. The baked scallop was warm so it made the California rolls a bit soggy, the rice fell off easily when we grabbed the rolls. Service: Very nice, fast, and attentive.Pricing: It's a bit pricey. Each specialty roll is about $15-17. The no problem has about 6 pieces. It's pretty pricey but considering the food has high quality I think it's acceptable. Parking: It's located in a shopping center so there're plenty of parking spots. Overall it was a good experience."
28,"Sushi is very good. The yellow tail belly and salmon belly were fresh, and the spicy chopped scallop was one of the best I've had. The spider roll was also tasty, and I'm glad it didn't have lettuce fillers like other places put in it. The crunchy tempura roll was decent, but the fried roll (king roll?) would have been better without cream cheese. However, some people like that so ‍. Service was lacking though, and the food came out slowly. However, the quality is enough to bring me back."
29,"Wow ....just wow!  This place is A-mazing!!!Super nice staff, clean restaurant, nice atmosphere, but the food is A+++. You haven't lived until you've tried their Brussels Sprouts appetizers and their Dynamite sushi rolls are seriously the BEST that I've ever had. This little place is a BIG TIME GEM!! Will be returning again, and again, and again."
30,"I went here with a friend yesterday for happy hour. It had been a long week and we needed to end it at a good happy hour. She told me that she found this happy hour that is great and close to her home. After arriving, I wasn't sure what to expect because it looks pretty simple on the outside. After entering, I was impressed. The decor was really nice and the mood was very relaxing. I think this would be a great date spot. My friend suggested I start out with the mule. She said it was delicious and it was absolutely yummy. We got the jalapeño popper, crispy calamari, and the shrimp and vegetable tempura. The food was delicious. Overall I was highly impressed with the food and drinks and will definitely be back for their happy hour. Everything was great and price was affordable"
31,This was AWFUL!!! OMG!!!Tasteless Rice the worst I've ever had seriously how in the world do they get away charging me for this.Sushi was not good... Below averageMiso soup was good but just averageAvocado eggroll was tasteless and just a huge miss. I expected amazing flavor pops.Disappointed
32,"Love it!! The flavors on the sushi rolls are great. I really can't complain. The ramen was good and fresh. The rolls we got had tons of flavor and a good amount of fish. We have tried the rainbow roll, charming roll, spicy California and regular, the spider roll, and mama roll. My favorites were the mama and charming. Well be back for sure. I was too hungry to take pictures, but trust it was good. Also I will say it is so much better than blue fish, by a lot. Don't go there go here!"
33,Solid Japanese place in Las Colinas! I've come several times and its always good. Sushi is decent portion and tastes fresh.
34,"Oh ramen. You either love it, or you love it. And in my case, I really do love it. I cam here with a few coworkers for the intention of getting ramen only.This place has a nice interior.The service, while really friendly, was a bit slow. After we got our waters, it took about 10-15 minutes before they came back to take our food order. It was a tad busy (maybe half the restaurant was full), but lots of wait staff. So I dunno._ Tonkatsu $10The broth was good and I really appreciated that it wasn't overly salty, which tends to be the problem with most ramen places. Even though it was pork bone broth, it wasn't super heavy either. I appreciated that quite a bit.The noodles were also good, but not al dente. It didn't have that BITE that I love. But still good. The ramen had lots of seaweed, few pieces of bamboo shoots, which I love and the chashu was tasty. A few bits of the chashu was slightly overcooked, but I think that attributes to the fact that they GRILL the pork belly. OMG. The tiny hints of char was actually really nice. I really enjoyed that surprisingly. The lines on the chashu made it look that much more appealing. Also, the chashu is a bit on the smaller side, but overall the flavor was good.The biggest downfall of this dish though was the egg. It was hardboiled. WHY :( The gooey soft-boiled egg yolk is always my favorite part of the ramen, so it was disappointing when they brought the bowls out and I saw the yolk was hardboiled. I'd recommend they change this. Otherwise, if you're craving ramen, this will at least hit the spot."
35,"Good, local sushi, can't go wrong. I recommend to anyone from the las colinas area, not sure if it's a place to drive and eat at -- haven't ever ate inside the restaurant so if the ambience inside is also worth it, I will update this review!"
36,"Little Katana is pretty good, but also on the expensive side. The most expensive? Nah, but still higher than a lot of the competition. Mostly that applies to the dinner menu and entrées. Luckily they have a lunch menu that is varied and much more reasonable, ranging $1-3 higher than similar restaurants. I came by last month for an early lunch with some fellow yelpers on a Friday. The place has nice décor, though the lighting is quite dim. This is more of a social setting than an ideal place for a business lunch. It was quite busy too. Since the place was bustling at times, it wasn't always easy to locate our server. I was glad to see the wide selection, but was torn between a bento and sushi as getting both was higher than I like to spend on a lunch. I settled on the sushi lunch bento for $14. It comes with tuna, salmon, yellowtail and shrimp and is served with your choice of rice or wasabi mash, California roll, tempura, soup and salad.I was genuinely pleased at the portions, they were a good amount for all the different dishes and a better match for the price than I was expecting. Everything was nicely presented. Most of us got bento boxes, though I was very distracted by the heavenly smell of the hot stone bowl at the table.The meal as a whole tasted very good! There were a couple of misses, the yellowtail tasted strange and the shrimp was really hard and in my opinion, inedible. Neither of those were enjoyable and I wouldn't order again.However, there were way more hits. The miso was decent, the salad was fresh, and the tempura and California roll were both on par. Salmon is one of my favorites and this was really good. Tuna is not my favorite because it's difficult to find high quality tuna that isn't sinewy around here, Little Katana definitely beats the competition on tuna, it was well above average!Though satisfied with my meal I was a little conflicted about my opinion of the sushi and value. I decided to order through UberEats the following week. I ordered the chicken teriyaki bento which was a very reasonable $11. It was a decent lunch with a similar portion as the dine in option. Everything was pretty good. My only confusion was the dish was actually grilled chicken with some sauce sprinkled on it, not actually cooked and tossed in the teriyaki. Not a big deal, just not what I was expecting.There is still plenty on the menu to try and I do plan on trying more sushi and several more dishes. The food averages out to four stars, you'll have a good meal overall. The value for me is what brings it down a star. When you have higher prices, I feel you have to do something different than other places, or have the highest quality to justify it. I didn't particularly feel that was the case, but it's a strong 3 and I'll be back again."
37,It was okay. Sushi was good. Ordered the teriyaki chicken to go and I was not a fan of the chicken. I'm a quality meat person and definitely felt like it was poor quality and under cooked
38,Smoked salmon sushi and the katana 101 roll is a must try! Staff was friendly and attentive. Gladly return and recommend
39,"4.5 stars to be exact. PSA: Wednesdays are 1/2 price wine bottles night. The servers are absolutely wonderful! I was hesitant coming into the place because of the appearance outside (looks very plain) but read some of the reviews and decided to try it out. Sooo happy we came in. The atmosphere was nice casual. It was the perfect place for dinner - low key, casual, dim lighting, and simple modern decor. I'd say it's good for a date night and catching up with friends. We ordered a bottle of Pinot Grigio, crab tower, crab sushi, and a hot stone rice bowl with a combination of beef, chicken, and shrimp. The food came out promptly, looked great and tasted good. The only minor criticism I have is the meat in the stone bowl was a tad over cooked, but that would not keep me from coming back. Service was exceptional."
40,"Let's say you had to pick up your friend from DFW airport.  It's past 9pm and they're hungry! Take them to Little Katana! They'll love it and so will you. Minutes from the airport,  this is one of the few restaurants in the area with convenient hours. They also have  great service,  and most importantly,  great food. I ordered the Sunny roll,  for obvious reasons.  It was delicious! I forgot what my friend ordered but she was also impressed by her roll. I also ordered the chicken teriyaki meal for my daughter. It was fairly portioned.  On top of all that,  the prices were fair. I wouldn't mind coming back!"
41,"My family and I came here for dinner one night and really enjoyed! We shared a few appetizers, the calamari (delicious and crispy. Had some fried jalapeños in there as well) and the jalapeño popper appetizer (also delicious with raw tuna and crab on top and jalapeño on bottom!). We all really enjoyed these. For entree most of my family for bento boxes. You need to ask for the dinner menu bento boxes if you want to order them, since the dinner bento menu is separate from the regular dinner menu. My boyfriend and I shared three sushi rolls, a classic spicy tuna, the spicy crawfish, and the sunny roll. All were delicious!! And really hit the spot of my sushi craving. All in all amazing food and my mom even enjoyed it! And she's incredibly picky.As for the service, it was decent but a little lacking. Initially we had to wait a bit for them to get utensils/dinner napkin for us when the appetizers were already served. Secondly, when my mom got her bento box, it was supposed to come with shrimp and vegetable tempura but they skipped it on her plate, leaving just lettuce. When we told our waitress, she agreed. Five minutes later another waitress comes and said it didn't come with the ""nigiri"" bento but my dad got that bento, not her. We corrected their mistake but it just took an altercation and misunderstanding to get there."
42,The lunch bento box is such a great deal! The bulgogi here is my absolute favorite!!! Sushi is decent as well.
43,Food wasn't up to standard.  Salty chicken.  Sushi fell apart.  Lobster was chewy and sub standard.  Edamame was unsalted.  3 stars is generous.
44,"Suzuki San is indeed here! I heard this, but I was not going to believe it until I saw it. I was heartbroken when Hanasho closed, and feared I would never find its equal. Fear abated. Little Katana was great. I am basing this review on a sushi only, sit at the sushi bar experience. While the restaurant has plenty of seating, we wanted to sit at the sushi bar and catch up with Suzuki San. First, I was delighted to see a Happy Hour, that includes food and drink specials. HH is M-F 3PM to 7PM. HH Menu: yelp.com/biz_photos/litt… What did we have? We started with an edamame (HH price $2), a crispy calamari (HH $5), a and large hot sake (HH $4). Calamari was very good. We moved onto a tuna sushi maguro ($6), a salmon sushi sake ($6), a scallop hotategai sushi ($6), a yellow tail roll ($7), an eel roll ($8), and a spider roll ($11). Everything was fantastic, with one exception. We thought the crab in the spider roll was a little over cooked (over fried). Not a deal breaker. Other than that, everything was perfect. The salmon was particularly good. We passed on the desert options, well desert in the conventional sense. As we finished up, Suzuki San presented us with an uni sushi. This was always our ""desert"" at Hanasho, and it was super cool that Suzuki San remembered. Thank you! Service was impeccable throughout the meal. Bottom line: Little Katana is now OUR new favorite place for sushi, but I can't wait to try other items on the menu."
45,Absolutely loved this place. I ordered the edamame and I believe it's called the dragonfly roll which was massive enough for 2 ppl and just overall delicious. My favorite sushi place in the Irving and las Colinas area. They have great customer service and great warm Sake. Def returning !
46,"Came into town from California for work & this place was highly recommended. Place was a little crowded, so chose to order and take back to the hotel. Wait was a bit long, but owner was very apologetic & included a couple of free miso soups., because of the wait. Food was delicious. Based on first time experience, placed look great, food was great, and I would come back any day of the week...if I lived in the area. lol"
47,"I  work in the area so I decided to take some quests here for dinner and thought that it was OK. We had a variety of different items including a couple of appetizers and a variety of dinner entrees.  For our appetizers, we had the fried calamari and the jalapeno poppers. I was a little surprised that the calamari was smaller than I expected and that it also had jalapenos included in the fried items on the plate.  I do not think of pairing calamari and jalapenos, but the dipping sauce was good.  The jalapeno poppers are filled with the imitation crab filling from a standard California roll.  I thought that this was a nice twist on a traditional popper and this was probably my favorite item.I got the hot stone bowl which is a really cool dish served with a nice touch of at table service.  The bowl is super hot and keeps your food extremely warm throughout your meal.  This is the dish that did not make this a 4 star for me.  I felt that the flavors were lost in this dish and that i expected more from the combination of shrimp and veggies.The service was also OK but we had to ask for things like more water multiple times.  I will have to try this place for lunch and see what I think, maybe it is a better value for your dollar during the lunch hour."
48,"Overrated and overpriced. I really wanted to like this place but you can take a quick trip to Carrollton for better and tastier sushi. Unfortunately, I wasn't impressed."
49,"Good sushi and maki/sushi rolls selections and other items such as hot rice bowls and other Asian fare. Fish could be little fresh/delicate, specially Tuna.Service is very friendly and prompt!"
50,"My friend and I were craving sushi during the night and conveniently this place was open! They take your temperature as soon as you go in the restaurant which I appreciate. I got the Spider Roll and the dumplings. I could tell that the quality of the spider roll was pretty good. Although, it was definitely not worth the price. $11 for six pieces is pretty hefty... and not to mention, the dumplings were $10! Be mindful that the dumplings were considered a ""starter"" and it's just average fried dumplings that you would find at any frozen aisle of an Asian grocery store. Overall the food wasn't bad but it wasn't worth the price."
51,Delicious! We arrived around 6ish to an empty restaurant and were a bit nervous but boy did that place fill up quick!! This place was delicious and we had a wonderful waitress  will def come back!!
52,"This place is great! Delicious. Service was exceptional. I recommend stopping by and enjoying the food,Atmosphere and drinks!"
53,"I work near by so I come here for happy hour occasionally. Their appetizers and sushi are great, we always get the dumplings and a few pieces of sushi!I'd recommend trying out the scallops, they're super tender and tasty!"
54,"One of my favorites in Las Colinas! I love their bento boxes, sushi, and the crispy brussel sprouts. Everything I've tried is delicious. They have indoor dining and are adhering well to covid protocols. They check everyone's temperature upon arrival, and tables distanced apart."
55,"As you enter you are greeted, they check your temperature and give you hand sanitizer due to COVID. Overall this place has great service and amazing food!"
56,"I've been going to Little Katana in Dallas for years and since I live in Coppell, I finally decided to give the Las Colinas restaurant a try. IT'S LIGHT YEARS BETTER THAN THE COLE LOCATION!!!!!!!!!!The sushi, the rolls, and the sashimi are all fresh and delicious. I don't usually like fried/cooked protein in my rolls, but man, that Louisiana roll is SUPER GOOD.The service is impeccable and unparalleled.Great low-key ambience appropriate for all occasions (solo dining, date night, business lunch, family dinner, etc). The smooth jazz music in background is annoying to me and my music preference, but I'm sure most people are okay with it.The crispy potstickers are delicious and I recommend getting the miso soup with potstickers *IN IT* instead of the full order of potstickers.If you order special cocktails, do not be shy. Explain exactly what you want to avoid any confusion.They have sake specials sometimes so if that's your thing, take advantage. I'm not a huge sake fan so it was a little too potent for me."
57,"EXCELLENT sushi place. My family loved the sushi rolls, which were fresh, and Korean dishes, which were flavorful and tasty! The service was great. They followed CDC guidelines for safety (masks, temp checks, social distancing, etc.). We were so impressed! My family comes to this area frequently for soccer tournaments, and we will definitely return to this place to get our sushi and bulgogi fix!"
58,We loved loved loved this place. The happy hour is awesome and the food is great!! How can you not love that combo? The ambiance is really nice and the service is good. We loved everything about this place. This will be where we go for an after work happy hour for sure.
59,First time here. The dumplings where off the hook. They come with a spicy sweet sauce that made a great complementary. The sashimi was very taste. I was impressed. I bring the wife next time.
60,"Best Sushi in Town. We have visited several times. The Waitresses are very freindly and efficient....recommend the Sunny Roll, Katana Roll, seafood bowl and the hot stone bowl with Beef"
61,"This is a bustling restaurant during lunch. Since it was just me at I sat at the sushi bar. Sushi chefs were constantly working. I ordered the chefs special blue fin tuna- just ok.Louisiana roll and shrimp tempura roll on the lunch special, good size. Also ordered the jalapeño poppers which were nice, I never had those before. This is a nice local spot. However, I wouldn't come out of my way to get here."
62,"Love their hot stone bow, however, was disappointed on my last 2 delivery order that came out incorrect. Called the restaurant, manager didn't bother to come and speak to me. Sent a contact us email, no response. Bit frustrated and most likely won't be reordering again."
63,Nice quality sushi. Always fresh love the rolls. Highly recommend.  Quick delivery times.
64,"Great Sushi place on MacArthur. I also recommend the Chilean Sea Bass with Miso paste and the Sample platter (comes with Kalbi beef short ribs, dumplings, and seared Ahi Tuna)"
65,"Ordered LK sushi special takeout. Wonderfully fresh, large slabs of fish and everything was prefect. Thank you, i couldn't be happier."
66,"Holy moly...The service here is impeccable. The food is fantastic. Let me put it this way, I have been looking for a good ""dynamite roll"" since I found the best one back in Florida several years ago. No one makes them that great and I just suffered through my life in Dallas without it... Until tonight. I finally found one made right! To top it off, there was a miscommunication about eel sauce on the rolls. We asked to put the eel sauce on the side. They brought us a side and eel sauce was also on the road. This is partially my fault for not specifying ""hey, no eel sauce on it, please put it on the side for the hubs"". They did not hesitate to take it back and get us fresh new rolls made the way I like in record timing. It was raining and the owner/manager was a gentleman. He took my child and I out under the umbrella and walked us to our car out in the parking lot. Bathrooms were clean, ambiance is great for a date and they have a kids meal with decent Mac n cheese. Wow! This place is my new favorite. Don't stop doing what you're doing, guys!"
67,"This place is worth the try. Food was great. Service was excellent. We came in on a whim. We were in the area staying the night before we flew out for vacation. The yellowtail sushi is get fresh. We ordered spicy edamame. It was kinda dry but add a little soy sauce and they were perfect. We ordered the seafood hot stone bowl, tonkotsu ramen, Japanese combo fried rice and yakisoba noodle combo and everything was perfect. Large selections of drinks, wine and liquor."
68,"Amazing food and service. Saturday night half price beers. Casual place, no need to dress up. Table seating, bar seating and sushi bar seating. Highly recommend- come hungry!"
69,Everything we got was so good. The Tiger Roll is a MUST try!! Will definitely be coming back!
